stage,route,stageType,profile,team,phase,phaseLabel,rider,card,slot,cost,target,power,packageTotalEffect
1,Barcelona > Barcelona,チームTT,tt,Team 01,setup,展開形成,Alessandro Borgo,高速牽引,specialty,2,味方エース,4.332,11.656
1,Barcelona > Barcelona,チームTT,tt,Team 01,setup,展開形成,Johan Price-Pejtersen,高速牽引,specialty,2,味方エース,4.846,11.656
1,Barcelona > Barcelona,チームTT,tt,Team 01,setup,展開形成,Jonas Rickaert,平坦牽引,basic,1,味方エース,2.236,11.656
1,Barcelona > Barcelona,チームTT,tt,Team 01,control,勝負所への運搬,Mads Pedersen,高速巡航,specialty,2,本人,4.515,11.656
1,Barcelona > Barcelona,チームTT,tt,Team 01,control,勝負所への運搬,Alessandro Borgo,平坦牽引,basic,1,味方エース,2.349,11.656
1,Barcelona > Barcelona,チームTT,tt,Team 01,control,勝負所への運搬,Johan Price-Pejtersen,平坦牽引,basic,1,味方エース,2.587,11.656
1,Barcelona > Barcelona,チームTT,tt,Team 01,control,勝負所への運搬,Jonas Rickaert,平坦牽引,basic,1,味方エース,2.286,11.656
1,Barcelona > Barcelona,チームTT,tt,Team 01,decisive,決着,Ilan Van Wilder,山岳ペースアップ,specialty,2,味方エース,4.537,11.656
1,Barcelona > Barcelona,チームTT,tt,Team 01,decisive,決着,Johan Price-Pejtersen,長距離追走,decisive,3,味方エース,7.199,11.656
1,Barcelona > Barcelona,チームTT,tt,Team 02,setup,展開形成,Jordan Labrosse,平坦牽引,basic,1,味方エース,2.309,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,setup,展開形成,Jasper De Buyst,平坦牽引,basic,1,味方エース,2.164,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,setup,展開形成,Nikias Arndt,平坦牽引,basic,1,味方エース,2.198,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,setup,展開形成,Mikkel Bjerg,平坦牽引,basic,1,味方エース,2.381,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,setup,展開形成,Vegard Stake Laengen,平坦牽引,basic,1,味方エース,2.401,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,control,勝負所への運搬,Jordan Labrosse,平坦牽引,basic,1,味方エース,2.357,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,control,勝負所への運搬,Jasper De Buyst,平坦牽引,basic,1,味方エース,2.216,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,control,勝負所への運搬,Nikias Arndt,平坦牽引,basic,1,味方エース,2.249,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,control,勝負所への運搬,Mikkel Bjerg,平坦牽引,basic,1,味方エース,2.427,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,control,勝負所への運搬,Vegard Stake Laengen,平坦牽引,basic,1,味方エース,2.446,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,decisive,決着,Mikkel Bjerg,ローテーション牽引,specialty,2,味方エース,3.713,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 02,decisive,決着,Vegard Stake Laengen,全開牽引,decisive,3,味方エース,7.084,11.23
1,Barcelona > Barcelona,チームTT,tt,Team 03,setup,展開形成,Gleb Syritsa,トラブル復帰,basic,1,味方エース,1.153,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,setup,展開形成,Remi Cavagna,高速牽引,specialty,2,味方エース,4.454,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,setup,展開形成,Danny van Poppel,平坦牽引,basic,1,味方エース,2.24,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,setup,展開形成,Edoardo Zambanini,風よけ,basic,1,味方エース,2.11,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,control,勝負所への運搬,Gleb Syritsa,トラブル復帰,basic,1,味方エース,1.671,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,control,勝負所への運搬,Remi Cavagna,ローテーション牽引,specialty,2,味方エース,4.33,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,control,勝負所への運搬,Danny van Poppel,平坦牽引,basic,1,味方エース,2.29,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,control,勝負所への運搬,Edoardo Zambanini,風よけ,basic,1,味方エース,1.614,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,decisive,決着,Remi Cavagna,全開牽引,decisive,3,味方エース,6.754,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,decisive,決着,Danny van Poppel,平坦牽引,basic,1,味方エース,1.69,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 03,decisive,決着,Edoardo Zambanini,風よけ,basic,1,味方エース,1.567,9.966
1,Barcelona > Barcelona,チームTT,tt,Team 04,setup,展開形成,Luke Durbridge,高速牽引,specialty,2,味方エース,4.48,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 04,setup,展開形成,Luka Mezgec,平坦牽引,basic,1,味方エース,2.255,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 04,setup,展開形成,Jenno Berckmoes,トラブル復帰,basic,1,味方エース,1.099,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 04,setup,展開形成,Frank van den Broek,トラブル復帰,basic,1,味方エース,1.111,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 04,control,勝負所への運搬,Luke Durbridge,ローテーション牽引,specialty,2,味方エース,4.354,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 04,control,勝負所への運搬,Luka Mezgec,平坦牽引,basic,1,味方エース,2.304,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 04,control,勝負所への運搬,Jenno Berckmoes,トラブル復帰,basic,1,味方エース,1.618,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 04,control,勝負所への運搬,Frank van den Broek,トラブル復帰,basic,1,味方エース,1.63,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 04,decisive,決着,Luke Durbridge,全開牽引,decisive,3,味方エース,6.789,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 04,decisive,決着,Luka Mezgec,高速リードアウト,specialty,2,味方エース,2.904,9.57
1,Barcelona > Barcelona,チームTT,tt,Team 05,setup,展開形成,Kasper Asgreen,ローテーション牽引,specialty,2,味方エース,4.014,10.61
1,Barcelona > Barcelona,チームTT,tt,Team 05,setup,展開形成,Jan Tratnik,高速牽引,specialty,2,味方エース,4.463,10.61
1,Barcelona > Barcelona,チームTT,tt,Team 05,setup,展開形成,Simone Consonni,平坦牽引,basic,1,味方エース,2.224,10.61
1,Barcelona > Barcelona,チームTT,tt,Team 05,control,勝負所への運搬,Kasper Asgreen,ローテーション牽引,specialty,2,味方エース,4.339,10.61
1,Barcelona > Barcelona,チームTT,tt,Team 05,control,勝負所への運搬,Jan Tratnik,ローテーション牽引,specialty,2,味方エース,4.338,10.61
1,Barcelona > Barcelona,チームTT,tt,Team 05,control,勝負所への運搬,Simone Consonni,平坦牽引,basic,1,味方エース,2.274,10.61
1,Barcelona > Barcelona,チームTT,tt,Team 05,decisive,決着,Kasper Asgreen,ローテーション牽引,specialty,2,味方エース,3.565,10.61
1,Barcelona > Barcelona,チームTT,tt,Team 05,decisive,決着,Jan Tratnik,全開牽引,decisive,3,味方エース,6.766,10.61
1,Barcelona > Barcelona,チームTT,tt,Team 06,setup,展開形成,Christophe Laporte,平坦牽引,basic,1,味方エース,2.202,11.371
